name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
Brie,placeholder,cheese,slice,wire_cheese_am_beyk0d,buttery|mild|earthy|nutty,soft,France
Camembert,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|mushroomy|buttery,soft,France
Roquefort,placeholder,cheese,slice,wire_cheese_am_beyk0d,salty|sharp|pungent|spicy,crumbly,France
Gorgonzola,placeholder,cheese,slice,wire_cheese_am_beyk0d,tangy|creamy|spicy|pungent,crumbly,Italy
Stilton,placeholder,cheese,slice,wire_cheese_am_beyk0d,rich|nutty|spicy|fruity,crumbly,United Kingdom
Cheddar,placeholder,cheese,slice,wire_cheese_am_beyk0d,sharp|nutty|savory|tangy,firm,United Kingdom
Parmesan,placeholder,cheese,slice,wire_cheese_am_beyk0d,umami|nutty|salty|savory,hard,Italy
Gouda,placeholder,cheese,slice,wire_cheese_am_beyk0d,sweet|caramel|buttery|nutty,semi-hard,Netherlands
Edam,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|buttery|nutty|slightly salty,semi-hard,Netherlands
Gruyere,placeholder,cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|savory|caramelized,firm,Switzerland
Emmental,placeholder,cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|buttery|mild,semi-hard,Switzerland
Comte,placeholder,cheese,slice,wire_cheese_am_beyk0d,fruity|savory|nutty|buttery,firm,France
Reblochon,placeholder,cheese,slice,wire_cheese_am_beyk0d,creamy|earthy|nutty|mild,soft,France
Tomme de Savoie,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|grassy|nutty|buttery,semi-soft,France
Munster,placeholder,cheese,slice,wire_cheese_am_beyk0d,pungent|savory|spicy|buttery,soft,France
Maroilles,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|strong|pungent|savory,soft,France
Pont-l'Eveque,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|buttery|mushroomy|mild,soft,France
Livarot,placeholder,cheese,slice,wire_cheese_am_beyk0d,pungent|savory|earthy|spicy,soft,France
Epoisses,placeholder,cheese,slice,wire_cheese_am_beyk0d,strong|pungent|savory|nutty,soft,France
Langres,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|tangy|fruity|pungent,soft,France
Brillat-Savarin,placeholder,cheese,slice,wire_cheese_am_beyk0d,creamy|buttery|mild|rich,soft,France
Coulommiers,placeholder,cheese,slice,wire_cheese_am_beyk0d,creamy|buttery|mild|nutty,soft,France
